               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.037652,             0.03002,            0.011521,             0.60483,             0.51731,             0.51538,             0.31983,             0.04709,            0.031776,            0.022223,            0.005248,            0.005248,            0.005248
                  74,            0.038043,            0.029507,            0.011732,             0.80985,             0.43558,             0.50582,             0.31166,            0.047865,            0.031707,            0.022616,            0.005182,            0.005182,            0.005182
                  75,            0.036297,            0.029183,             0.01088,             0.78802,             0.43944,              0.5052,             0.30455,            0.047804,            0.031962,            0.023834,            0.005116,            0.005116,            0.005116
                  76,            0.036925,             0.03035,            0.011205,             0.80347,             0.43171,             0.49937,             0.29938,             0.04692,            0.033519,            0.024018,             0.00505,             0.00505,             0.00505
                  77,            0.037145,            0.028688,             0.01105,             0.63934,             0.48737,             0.51697,             0.31377,            0.046533,            0.032265,            0.021859,            0.004984,            0.004984,            0.004984
                  78,              0.0374,            0.029457,            0.011345,             0.78696,             0.45568,             0.50265,             0.32648,             0.04666,            0.032379,            0.021704,            0.004918,            0.004918,            0.004918
                  79,            0.036647,            0.028884,            0.011285,             0.68982,              0.5094,             0.52368,             0.31859,            0.045538,            0.031651,            0.021379,            0.004852,            0.004852,            0.004852
                  80,            0.035954,            0.027746,            0.010493,             0.76868,             0.45999,             0.51329,             0.31944,             0.04701,            0.032037,            0.021885,            0.004786,            0.004786,            0.004786
                  81,            0.037549,            0.028874,            0.011204,             0.75959,              0.4472,             0.48415,             0.30551,            0.047301,            0.033534,            0.023952,             0.00472,             0.00472,             0.00472
                  82,             0.03632,            0.028349,            0.010791,             0.78442,             0.43857,             0.49986,             0.30552,            0.047118,             0.03315,            0.023147,            0.004654,            0.004654,            0.004654
                  83,            0.037167,            0.027835,            0.010956,             0.58979,             0.50848,             0.52191,             0.32758,            0.046865,             0.03201,            0.022192,            0.004588,            0.004588,            0.004588
                  84,            0.037372,            0.028469,            0.011039,             0.83012,             0.44849,             0.51619,             0.31108,            0.046329,            0.031803,            0.022485,            0.004522,            0.004522,            0.004522
                  85,            0.036079,            0.029237,            0.010569,             0.84058,             0.42481,             0.50574,             0.31432,            0.046746,            0.033326,            0.022645,            0.004456,            0.004456,            0.004456
                  86,            0.035818,            0.027881,            0.010861,             0.80375,             0.43088,             0.52207,             0.32369,            0.046273,            0.032931,            0.022217,             0.00439,             0.00439,             0.00439
                  87,            0.034843,            0.027529,            0.010708,             0.63519,             0.51155,             0.51684,             0.32477,              0.0465,            0.031687,            0.022651,            0.004324,            0.004324,            0.004324
                  88,            0.035311,            0.027066,            0.010473,             0.72176,             0.49295,             0.51714,             0.31455,            0.047404,            0.031609,            0.022489,            0.004258,            0.004258,            0.004258
                  89,            0.035803,            0.027598,            0.010352,             0.70825,             0.49555,             0.52589,             0.33902,            0.046749,            0.032569,            0.022403,            0.004192,            0.004192,            0.004192
                  90,            0.034984,            0.027399,            0.010017,             0.81659,             0.43989,             0.51555,             0.32356,             0.04653,            0.034034,            0.022754,            0.004126,            0.004126,            0.004126
                  91,            0.035266,            0.027813,           0.0099332,             0.65877,             0.49459,             0.52286,             0.32814,            0.046963,            0.033792,            0.022874,             0.00406,             0.00406,             0.00406
                  92,            0.035199,            0.027134,            0.009902,             0.64943,             0.49332,             0.51059,             0.32809,            0.046887,            0.033419,            0.023604,            0.003994,            0.003994,            0.003994
                  93,            0.035154,            0.027211,           0.0098435,             0.64292,             0.50019,             0.51589,             0.33615,            0.046563,            0.032981,            0.023564,            0.003928,            0.003928,            0.003928
                  94,            0.034571,            0.028247,            0.010006,              0.6094,             0.52725,             0.51741,             0.32281,            0.046522,            0.032476,            0.022812,            0.003862,            0.003862,            0.003862
                  95,            0.034428,            0.027357,            0.009811,             0.85011,              0.4259,             0.51791,             0.32275,            0.047096,            0.033377,            0.023246,            0.003796,            0.003796,            0.003796
                  96,            0.035778,            0.026892,            0.010285,             0.62629,             0.50278,             0.51951,             0.33347,            0.047134,            0.033263,            0.022784,             0.00373,             0.00373,             0.00373
                  97,            0.034526,            0.025391,            0.010286,             0.59626,             0.50677,             0.51428,             0.33576,             0.04664,            0.033149,            0.022829,            0.003664,            0.003664,            0.003664
                  98,            0.034597,            0.026824,              0.0101,             0.64994,              0.4986,             0.52179,             0.33767,            0.046254,            0.032906,             0.02314,            0.003598,            0.003598,            0.003598
                  99,            0.034118,            0.027337,            0.009999,             0.68663,              0.4996,             0.51925,             0.33828,            0.046032,             0.03296,            0.022943,            0.003532,            0.003532,            0.003532
                 100,            0.034154,            0.027747,           0.0097097,             0.68646,             0.48507,              0.5149,             0.32237,            0.045715,            0.033665,            0.023941,            0.003466,            0.003466,            0.003466
                 101,            0.033586,            0.025776,           0.0099308,             0.69374,              0.4978,             0.51981,             0.33507,             0.04696,            0.034175,            0.023252,              0.0034,              0.0034,              0.0034
                 102,            0.033326,            0.025928,           0.0092653,             0.70675,              0.5015,             0.51819,             0.32455,            0.046267,            0.034566,            0.023422,            0.003334,            0.003334,            0.003334
                 103,            0.033328,              0.0257,           0.0094946,             0.66633,             0.49503,             0.51744,             0.34412,            0.046116,            0.033133,            0.023472,            0.003268,            0.003268,            0.003268
                 104,            0.033446,               0.027,           0.0091462,             0.68144,             0.50902,             0.51656,             0.33189,            0.046438,            0.032777,            0.023375,            0.003202,            0.003202,            0.003202
                 105,             0.03357,            0.026961,           0.0096882,             0.67882,             0.49408,             0.51661,             0.33526,            0.046018,            0.032452,            0.022718,            0.003136,            0.003136,            0.003136
                 106,            0.033032,            0.025896,           0.0094189,             0.68297,             0.49026,             0.50507,             0.33067,            0.045992,            0.033607,             0.02283,             0.00307,             0.00307,             0.00307
                 107,            0.033804,            0.026473,           0.0093151,             0.65478,             0.48626,             0.50438,             0.32106,            0.046295,            0.034408,            0.023655,            0.003004,            0.003004,            0.003004
                 108,            0.033115,            0.026425,           0.0092236,              0.6913,             0.49509,             0.51417,             0.32574,            0.046152,            0.034184,            0.023588,            0.002938,            0.002938,            0.002938
                 109,            0.033018,            0.026351,           0.0091433,              0.7192,             0.47876,             0.51926,             0.33208,             0.04577,            0.033833,            0.023529,            0.002872,            0.002872,            0.002872
                 110,            0.032875,            0.025361,           0.0091309,             0.73935,             0.46384,             0.51058,             0.33155,            0.045924,            0.033866,             0.02365,            0.002806,            0.002806,            0.002806
                 111,            0.032166,            0.026951,           0.0092108,              0.7556,             0.47413,              0.5196,             0.33014,            0.045972,            0.033185,             0.02261,             0.00274,             0.00274,             0.00274
                 112,             0.03355,            0.027123,           0.0096205,             0.70006,             0.48845,             0.52095,             0.33551,             0.04641,            0.033583,             0.02316,            0.002674,            0.002674,            0.002674
                 113,            0.032468,             0.02652,           0.0091299,             0.74271,             0.48289,             0.52416,             0.34157,            0.046183,            0.033743,            0.022865,            0.002608,            0.002608,            0.002608
                 114,            0.032771,            0.025817,           0.0090027,             0.74785,              0.4813,             0.52402,             0.34355,            0.045498,            0.033675,            0.022953,            0.002542,            0.002542,            0.002542
                 115,            0.032473,            0.026368,            0.009416,              0.7396,             0.47598,             0.51798,              0.3319,             0.04582,            0.033472,            0.022748,            0.002476,            0.002476,            0.002476
                 116,            0.032678,            0.026232,           0.0089659,             0.70059,              0.4866,              0.5169,             0.33923,            0.046488,            0.032824,            0.022822,             0.00241,             0.00241,             0.00241
                 117,            0.031507,            0.024538,           0.0087157,             0.65516,             0.50735,             0.52222,             0.34409,            0.045969,             0.03189,            0.022073,            0.002344,            0.002344,            0.002344
                 118,            0.031284,            0.025433,           0.0092349,             0.71377,             0.49568,             0.52775,             0.34394,            0.045577,            0.033683,            0.022483,            0.002278,            0.002278,            0.002278
                 119,            0.032795,            0.026148,           0.0093357,             0.73097,              0.5058,             0.52838,             0.34228,            0.044914,            0.032596,            0.021902,            0.002212,            0.002212,            0.002212
                 120,            0.031697,            0.024905,           0.0084785,             0.77601,             0.47371,             0.52247,             0.34866,            0.045287,            0.033073,            0.022279,            0.002146,            0.002146,            0.002146
